customer_id,customer_title,forename,surname,address_1,address_2,address_3,county,postcode,telephone,age,package_bought,monthly_subscription,days_active,recent_nps,,1a,Quantitative Data,,,Qualitative Data,,,,,,
396,,Gillian,Simpson,1 Roger Branch,,New Dominic,Greater Manchester,WN3 0ND,+44(0)161 4960645,40,basic,16.58,181,9,,3,Frequency distribution of age bands,Upper limit,Category,,,,,,,
397,,Graeme,Newton,3 Dickinson Walk,,Reidchester,Buckinghamshire,BB3 2UU,(0151) 496 0568,45,basic,16.32,227,10,,,,30,Under 30,,,,,,,
398,,Bryan,Lawrence-Patel,Flat 7,Goodwin Spurs,North Williamport,Moray,WN0Y 1FP,020 7946 0305,41,enterprise,22.81,150,5,,,,40,30 - 40,,,,,,,
399,Mrs,Angela,Kirk,Flat 82M,Kimberley Shores,Michaelton,Nottinghamshire,WV4E 6NX,(0113)4960626,59,basic,19.15,177,8,,,,50,40 - 50,,,,,,,
400,Dr,Aaron,Davies,Flat 17,Flynn Courts,Dixontown,Radnorshire,W2C 2BG,+44115 4960019,36,pro,27.45,198,7,,,,60,50 - 60,,,,,,,
401,Mrs,Tracey,Matthews,Flat 09w,Morgan Roads,West Debra,Monmouthshire,M3 0FU,+44(0)131 496 0878,67,basic,19.07,215,10,,,,120,60+,,,,,,,
402,Ms,Annette,Browne,Flat 57,Kieran Run,South Dennismouth,West Yorkshire,B6 4YL,+44(0)28 9018 0113,39,pro,25.77,203,8,,,,,,,,,,,,
403,Dr,Thomas,Jones,593 Stephens Trafficway,,Duncanmouth,West Lothian,SR68 0EQ,+44(0)116 4960777,54,basic,18.31,205,10,,,,,,,,,,,,
404,,Melissa,Phillips,37 Gavin Land,,Hartland,West Yorkshire,CR6Y 7AY,+4429 2018918,39,basic,17.86,160,10,,,,,,,,,,,,
405,,Malcolm,Rogers-Newton,87 Walsh Glens,,South Keith,Dundee City,M1 8NA,020 74960577,45,basic,17.65,189,10,,,,,,,,,,,,
406,,Susan,Savage,441 Alex Knoll,,West Marktown,Flintshire,EC1R 2AJ,+44(0)306 999 0987,50,basic,15.04,176,10,,,,,,,,,,,,
407,,Nathan,Williams-Hardy,Studio 89,Chloe Points,Dawnborough,Warwickshire,SN0B 6LG,+44141 496 0986,46,basic,17.83,230,9,,,,,,,,,,,,
408,,Anthony,Roberts,Flat 31,Alice River,New Leigh,Cornwall,BL5 6JL,+44(0)909 8790361,37,basic,17.69,183,7,,,,,,,,,,,,
409,,Katherine,Foster,Studio 1,Williams Pike,Samanthaside,Highland,LL9M 8PJ,1614960077,42,basic,17.7,183,7,,,,,,,,,,,,
410,,Fiona,Davies,81 Frances Meadow,,Port Elliott,North Ayrshire,HX27 8HG,0161 4960850,38,basic,16.23,187,10,,,,,,,,,,,,
411,Ms,Teresa,Yates,959 Jones Mall,,Damianfurt,Oxfordshire,PR1 2UY,(0306) 999 0464,49,basic,16.26,231,10,,,,,,,,,,,,
412,,Heather,Johnston,Flat 26,Bell Valley,Port Gavin,Aberdeenshire,TD0 7XZ,4.48082E+11,49,basic,16.06,228,9,,,,,,,,,,,,
413,Dr,Zoe,Parker,Flat 04,Barker Wells,South Mohammed,Kent,N4F 6TR,+44(0)28 9018598,36,basic,17.93,197,7,,,,,,,,,,,,
414,,Declan,Griffiths,87 Rice Streets,,Smithton,East Sussex,CH86 3SB,4.41215E+11,46,basic,18.73,149,8,,,,,,,,,,,,
415,,Jasmine,Evans,4 Jane Heights,,Yvonnebury,West Dunbartonshire,EX55 0PL,+44161 496 0240,52,pro,26.8,208,8,,,,,,,,,,,,
416,,Adam,Baker,Flat 82w,Geoffrey Pike,Lake Josephside,Derbyshire,CM97 1AD,0118 496 0253,35,pro,32.65,216,9,,,,,,,,,,,,
417,,Lydia,Booth,44 Singh Junction,,Port Natalie,East Lothian,L0S 7AF,028 9018956,38,enterprise,28.66,275,3,,,,,,,,,,,,
418,,Aaron,Daniels-Perkins,Flat 56,Marian Knoll,West Maxberg,Armagh,B9E 6WE,0141 4960463,61,pro,27.32,200,7,,,,,,,,,,,,
419,,Rosie,Whitehead,425 Russell Views,,North Carole,South Lanarkshire,DT9 0ED,+4428 9018 0037,41,basic,19.67,215,10,,,,,,,,,,,,
420,,Charlene,Dennis,593 Coates Lodge,,Adriantown,Midlothian,S8F 3AZ,+44(0)1214960278,42,basic,19.27,201,9,,,,,,,,,,,,
421,,Denis,Henderson,Flat 02k,Frank Union,New Nataliefurt,Argyll and Bute,W10 0PZ,+44306 9990781,55,basic,18.64,242,10,,,,,,,,,,,,
422,,Alice,Jones,Flat 6,Skinner Trail,Port Bradley,West Berkshire,B7J 5RL,4.41615E+11,45,basic,17.02,225,10,,,,,,,,,,,,
423,,Joseph,Evans-Smith,Studio 1,Cooper Manors,Thomasstad,East Sussex,SK68 6JE,(0116) 4960699,34,pro,28.85,157,8,,,,,,,,,,,,
424,,Gerald,Blackburn,74 Ahmed Station,,South Kieran,West Dunbartonshire,B3 9EN,0115 4960301,56,basic,19.98,197,10,,,,,,,,,,,,
425,Miss,Irene,Hunt,Flat 48g,Harriet Key,New Denis,Cardiganshire,S7U 1HE,(0161)4960679,42,pro,32.08,244,10,,,,,,,,,,,,
426,,Jason,Griffiths-Campbell,Flat 70c,Pratt Way,Nixonburgh,Fermanagh,TD5 4ZL,+44(0)1184960481,45,basic,18.9,174,8,,,,,,,,,,,,
427,,Mary,Hamilton,7 Kirsty Park,,Richardfurt,West Yorkshire,WF10 5ZD,0151 496 0750,66,enterprise,37.27,140,5,,,,,,,,,,,,
428,Mr,Mohamed,Hawkins,9 Turner Coves,,Burkemouth,Bedfordshire,S9 0UP,0121 4960041,54,pro,34.3,207,9,,,,,,,,,,,,
429,,Leigh,Potter-Singh,579 Wilkinson Green,,East Paige,Denbighshire,WN2E 7ZQ,(01632) 960082,33,pro,33.35,205,8,,,,,,,,,,,,
430,,Rita,Holmes,Flat 5,Rhodes Expressway,South Junehaven,Highland,L80 9WD,4.41515E+11,32,basic,16.88,216,10,,,,,,,,,,,,
431,Dr,Lydia,Hamilton,Studio 23p,Davies Vista,Lake Sally,Warwickshire,G9 8EQ,+44(0)8081570399,50,basic,18.84,200,8,,,,,,,,,,,,
432,,Rosemary,Walker,91 Sharon Cove,,Evansbury,Derry and Londonderry,IG07 7FS,+44(0)1414960701,37,basic,16.24,208,9,,,,,,,,,,,,
433,,Jack,Smith,0 Murphy Ramp,,Rickyhaven,Kent,FK72 0TP,+44909 8790858,49,pro,27.84,224,10,,,,,,,,,,,,
434,Miss,Vanessa,Cole,287 Samantha Glen,,Ritachester,Cardiganshire,BT77 9RF,1174960190,44,basic,15.93,166,9,,,,,,,,,,,,
435,,Marcus,Johnson,2 Tina Shore,,Farrellburgh,Down,G54 3YH,1174960944,54,enterprise,32.27,172,4,,,,,,,,,,,,
436,,David,Jones,71 Stewart Hollow,,South Frederick,Pembrokeshire,M22 1RB,4.41165E+11,65,basic,18.01,295,9,,,,,,,,,,,,
437,,Bryan,Foster,Flat 46O,West Streets,Geraldinehaven,Merseyside,L7 5QH,(020)74960136,32,basic,15.38,252,10,,,,,,,,,,,,
438,,Lorraine,Cooper-Kennedy,Studio 4,Jackson Manor,Hartbury,Northumberland,G14 2BX,(028) 9018511,56,basic,19.98,207,9,,,,,,,,,,,,
439,,Donald,Harvey,9 Alexandra Forge,,West Gailborough,Fermanagh,HP48 3BS,+44(0)115 496 0188,39,enterprise,33.88,116,3,,,,,,,,,,,,
440,,Melissa,Dickinson,Studio 7,Margaret Motorway,Bakerbury,Somerset,SP25 9ED,+44(0)131 496 0084,27,basic,17.91,221,9,,,,,,,,,,,,
441,,Linda,Davis,Studio 72,Geoffrey Burgs,Singhside,Northumberland,AB1 1BA,4.41315E+11,58,basic,16.65,150,8,,,,,,,,,,,,
442,,Norman,Miller-Lane,Flat 50,Taylor Ramp,Natashamouth,East Ayrshire,HP09 9BU,292018895,35,basic,16.59,231,10,,,,,,,,,,,,
443,Dr,Glen,Cook,0 Yvonne Points,,Zoeville,Northamptonshire,L0K 7TE,+44(0)116 4960182,35,pro,26.7,210,7,,,,,,,,,,,,
444,,Wendy,Burrows-Bates,3 Alexander Turnpike,,Ahmedland,Shropshire,B3 1YY,+44306 999 0110,41,pro,30.8,164,7,,,,,,,,,,,,
445,,Grace,Jackson,Flat 86,Bethan Lake,Pagestad,East Renfrewshire,HD1 9BN,4.41215E+11,34,basic,17.57,248,10,,,,,,,,,,,,
446,,Gail,Hurst,5 Henry Hill,,East Abdul,Cumbria,L2G 6GN,(0306)9990165,50,enterprise,23.96,140,1,,,,,,,,,,,,
447,,Linda,Fowler,Flat 9,Lynn Neck,Daviesport,South Lanarkshire,OL01 5TP,+44(0)29 2018 0045,69,enterprise,25.72,180,7,,,,,,,,,,,,
448,Mr,Jake,Francis,Studio 47l,King Passage,Paigeville,Antrim,ML6 7ES,+44(0)114 496 0291,54,enterprise,24.73,216,2,,,,,,,,,,,,
449,,Eleanor,Evans,0 Barnett Well,,Paulchester,Leicestershire,JE9 9LR,+44(0)292018798,49,basic,15.69,187,7,,,,,,,,,,,,
450,,Janice,Green,8 Leigh Dale,,North Olivia,Denbighshire,WR7V 8AL,0808 157 0417,54,enterprise,35.86,215,8,,,,,,,,,,,,
451,Mr,Nigel,Randall,Studio 2,Stanley Wall,Howardport,Hertfordshire,WR5R 3RP,(0121) 496 0382,42,basic,17.89,277,10,,,,,,,,,,,,
452,Miss,Molly,Adams,Studio 9,Henry Road,Murphystad,South Lanarkshire,M2 6ZB,(0117)4960989,38,enterprise,35.93,252,7,,,,,,,,,,,,
453,,Bethan,Cook,970 Ben Ramp,,South Daniel,Kent,DA75 3TS,+44(0)161 496 0938,34,basic,19.07,175,10,,,,,,,,,,,,
454,,Billy,Bell,4 Nicholson Harbors,,North Mitchell,City of Edinburgh,S6 4LT,(0118)4960487,44,enterprise,36.26,137,6,,,,,,,,,,,,
455,,Jade,Jones,Studio 50L,Mills Shores,Port David,Moray,W0A 5FL,+44(0)20 7496 0536,49,pro,34.39,157,8,,,,,,,,,,,,
456,,Stephanie,Collins,Studio 75g,Geoffrey Coves,Joanland,Essex,S2 3FP,(0808)1570579,64,enterprise,39.09,177,3,,,,,,,,,,,,
457,,Kimberley,Morris,88 Wilson Station,,Charlotteview,Dundee City,N8 1BW,(0909)8790398,55,enterprise,20.79,188,1,,,,,,,,,,,,
458,,Christian,Bell-Shah,67 Linda Common,,Charltonfurt,Inverclyde,E74 6LJ,0141 4960276,54,enterprise,35.7,219,7,,,,,,,,,,,,
459,Miss,Janet,Preston,56 Berry Village,,Hollychester,West Dunbartonshire,L8 1JN,(0115)4960131,55,pro,26.82,185,8,,,,,,,,,,,,
460,,Hugh,Martin,Flat 8,Hayley Track,North Edward,Glasgow City,NG82 6PF,(0191) 496 0366,52,basic,17.11,212,9,,,,,,,,,,,,
461,Dr,Bruce,Norris,Flat 74,Walton Park,North Yvonne,West Dunbartonshire,M2 6AQ,0121 496 0065,52,basic,18.77,246,10,,,,,,,,,,,,
462,,Tony,Ahmed-Short,Studio 85,Wilkinson Keys,Dominicburgh,Merionethshire,TQ3N 2AF,+44191 4960103,52,basic,18.71,169,7,,,,,,,,,,,,
463,Dr,Sian,May,335 Byrne Plaza,,Ronaldland,Dundee City,NW5 8NU,0161 4960742,54,enterprise,33.45,209,8,,,,,,,,,,,,
464,,Norman,Hawkins,Studio 71j,Field Dam,Lake Steven,East Ayrshire,S79 8JT,+44(0)1214960870,36,pro,29.84,197,8,,,,,,,,,,,,
465,Mrs,Andrea,Russell,Studio 30O,Allan Station,East Hughfort,Armagh,TS97 8SJ,0116 4960778,47,pro,34.49,309,9,,,,,,,,,,,,
466,,Paul,Pearson,67 Judith Ramp,,East Danny,Dorset,G05 5EX,4.41135E+11,62,basic,17.87,183,7,,,,,,,,,,,,
467,,Cameron,Barnett,9 Bethan Trail,,North Mary,Merseyside,PO69 6YE,+4428 9018644,19,enterprise,27.68,227,8,,,,,,,,,,,,
468,,Lynne,May,Studio 38,Alice Parks,Port Sean,Cornwall,CW7 6YX,(0141) 4960894,65,pro,33.57,275,8,,,,,,,,,,,,
469,,Amanda,Burns,Flat 40d,Begum Union,West Michael,Warwickshire,N4K 5WE,(0131)4960013,51,enterprise,31.34,216,8,,,,,,,,,,,,
470,,Damian,Khan,343 Catherine Trail,,Port Fionaport,Orkney Islands,M9U 5AN,4.4307E+11,53,enterprise,23.29,168,6,,,,,,,,,,,,
471,Dr,Craig,Smith,Studio 56,Patricia Park,West Clare,Aberdeenshire,W40 9DQ,(0151)4960687,51,basic,16.98,242,9,,,,,,,,,,,,
472,,Phillip,White-Evans,Studio 07,Moore Mall,East Ellieshire,East Ayrshire,W6D 4RH,4.41315E+11,32,basic,15.93,190,7,,,,,,,,,,,,
473,,Adam,Bevan,15 Cooke Shoal,,North Cheryl,Leicestershire,RM6 2YP,+44(0)161 4960044,57,basic,15.83,119,10,,,,,,,,,,,,
474,,Janet,Arnold,Studio 54,Taylor Alley,Mitchellburgh,Montgomeryshire,L52 8PN,8081570307,24,pro,27.57,225,7,,,,,,,,,,,,
475,,Nathan,Barber-Griffiths,0 Richardson View,,Kingside,Caernarvonshire,M4S 2QQ,+44(0)116 4960373,59,enterprise,33.25,241,6,,,,,,,,,,,,
476,,Linda,Watson,8 Burns Road,,South Amanda,Wiltshire,NP2 5BW,1134960912,41,pro,33.61,123,6,,,,,,,,,,,,
477,,Amelia,Patel,6 Laura Mission,,South Leanne,Northamptonshire,WV82 5RF,(01632)960116,39,enterprise,39.75,160,6,,,,,,,,,,,,
478,,Michael,Bowen,Flat 83,Middleton Orchard,Huntburgh,Warwickshire,W5 7LF,(0116) 4960598,48,enterprise,29.26,196,2,,,,,,,,,,,,
479,,Teresa,Davies,Studio 32,Webb Common,North Hayleyport,Flintshire,M83 7EQ,+4428 9018259,18,basic,16.92,190,7,,,,,,,,,,,,
480,Dr,Georgia,Davis,Studio 15m,Shaun Crescent,South Kieran,Derbyshire,E6G 6FG,0191 4960168,58,pro,32.02,193,7,,,,,,,,,,,,
481,Mrs,Denise,Ellis,9 Allan Ways,,Gillianstad,Cambridgeshire,E7 3RQ,1632960676,57,basic,18.19,198,10,,,,,,,,,,,,
482,,Kathryn,Moore,Studio 33,Webb Street,Jodiebury,Tyrone,S25 2TS,4.41185E+11,43,enterprise,33.04,203,7,,,,,,,,,,,,
483,,Margaret,Jackson,71 Anna Walk,,West Emma,Down,S7H 5JD,(0121) 496 0470,47,basic,16.21,208,10,,,,,,,,,,,,
484,,William,King,Flat 62l,Hughes Points,Lake Damianberg,Dumfries and Galloway,TQ71 3UA,+44(0)114 4960447,62,pro,30.11,210,9,,,,,,,,,,,,
485,,Martin,Heath,Studio 0,Shaw Plains,Lake Alexandraton,Leicestershire,TN8B 3DN,0118 496 0956,57,enterprise,20.82,228,3,,,,,,,,,,,,
486,,Callum,Nicholls,Studio 23c,Carl Locks,South Karenville,West Lothian,CW19 9BX,0191 498 0513,55,pro,30.07,281,8,,,,,,,,,,,,
487,Ms,Olivia,Thomas,Studio 84,Davey Port,Brettberg,Leicestershire,B08 5JE,+44(0)909 8790273,51,pro,25.75,236,9,,,,,,,,,,,,
488,,Jason,Clements,Flat 5,Brown Loaf,East Donna,Cleveland,TS21 7DP,0114 496 0094,48,basic,18.55,192,8,,,,,,,,,,,,
489,,Geraldine,Palmer,555 Jennings Pines,,Kimberleyview,Armagh,M7 2BQ,(029)2018672,60,basic,17.46,213,10,,,,,,,,,,,,
490,Miss,Melanie,Holmes,903 Begum Mountain,,Declanmouth,North Lanarkshire,L5J 4XT,(0191) 4960641,25,basic,19.41,210,10,,,,,,,,,,,,
491,,Amanda,Green,Flat 46,Dawn Crest,Chapmantown,Flintshire,L26 4ZG,0151 4960909,43,pro,31.57,173,7,,,,,,,,,,,,
492,,Emma,Long,45 Allen Throughway,,Careystad,West Dunbartonshire,CT33 4BH,+44(0)1914960751,42,basic,17.3,248,10,,,,,,,,,,,,
493,Dr,Ashley,Steele,1 Norman Plains,,Kennethton,West Lothian,L17 8QZ,+44(0)28 9018219,51,basic,16.42,55,8,,,,,,,,,,,,
494,Mrs,Dorothy,Miles,842 Miller Ramp,,Tracystad,West Lothian,IM9Y 0ZR,+44808 1570320,54,basic,16.3,209,9,,,,,,,,,,,,
495,,Suzanne,Hargreaves,3 Bruce Flats,,New Mandyport,Fermanagh,E4 9RN,(029) 2018 0937,60,basic,19.39,216,10,,,,,,,,,,,,
496,,Marc,Vincent,193 Freeman Light,,New Annhaven,Leicestershire,N2 1SF,1164960538,31,pro,32.9,193,7,,,,,,,,,,,,
497,,Marilyn,Thomas-Wilkinson,Studio 80r,Darren Corners,West Lukefort,South Yorkshire,L69 6GE,+44131 4960356,43,basic,16.25,210,10,,,,,,,,,,,,
498,Mr,Anthony,Patel,833 Henry Track,,Amymouth,Worcestershire,TA77 7AP,+44(0)116 496 0314,52,enterprise,36.89,158,3,,,,,,,,,,,,
499,,Patrick,Nicholson,95 Maurice Skyway,,Garryview,Midlothian,W3G 6NR,+44(0)2074960135,32,pro,28.74,190,8,,,,,,,,,,,,
500,,Janice,Daniels-Stevenson,453 Cole Drives,,Tonyfort,East Dunbartonshire,S31 5ZU,+44(0)29 2018 0908,22,pro,25.67,210,7,,,,,,,,,,,,
501,Miss,Kirsty,Brooks,98 Mark Valleys,,North Susan,Denbighshire,IV8H 8AZ,(0121)4960154,64,basic,19.25,188,7,,,,,,,,,,,,
502,Dr,Luke,Brookes,Studio 5,Richard Keys,South Clifford,West Midlands,TN57 1HD,020 7946 0379,31,basic,16.13,117,7,,,,,,,,,,,,
503,Dr,Ryan,Manning,33 Rosemary Place,,New Harrietfort,Denbighshire,SO9 1JU,4.41915E+11,36,enterprise,35.45,251,7,,,,,,,,,,,,
504,,Gerald,Farmer,Flat 46n,Mark Lodge,Lake Timothy,Derbyshire,FY42 2BJ,029 2018 0745,41,basic,19.13,149,8,,,,,,,,,,,,
505,,Ryan,Holmes-Rogers,Flat 9,Charlene Parkway,Heatherfort,Moray,NN6 7US,1414960431,39,enterprise,28.19,223,8,,,,,,,,,,,,
506,,Christine,Singh,Flat 25,Webster Isle,New Bradley,Shropshire,BL7 4HD,+44(0)113 4960880,51,basic,15.76,177,7,,,,,,,,,,,,
507,Mr,Raymond,Cooper,Flat 87,Farmer Plaza,Georginabury,Kent,CM06 3DW,(0161)4960445,51,pro,25.72,218,10,,,,,,,,,,,,
508,Miss,Claire,Field,Studio 97,Howard Island,New Jordanshire,Norfolk,B52 2YH,(0141) 4960836,43,enterprise,29.32,189,4,,,,,,,,,,,,
509,,Stephanie,Sharp,Flat 03p,Rogers Spurs,Albertfurt,Merseyside,SL6H 9HS,+44(0)1174960691,48,pro,28.63,249,7,,,,,,,,,,,,
510,,Jordan,Wright,561 Russell Lights,,Brayside,Shetland Islands,L0 6TS,+44(0)2074960458,27,pro,26.3,184,8,,,,,,,,,,,,
511,,Carly,Page,Studio 57v,Charles Island,Gemmaborough,West Lothian,ML56 3NT,4.41185E+11,34,basic,15.19,201,10,,,,,,,,,,,,
512,,Kevin,Spencer,1 Butler Stravenue,,Jodieberg,Down,G3H 9YH,+44(0)131 4960260,60,basic,17.54,265,9,,,,,,,,,,,,
513,Dr,Russell,Lucas,Flat 04,Jay Mills,New Arthurside,Essex,BS8N 3HX,4.41215E+11,63,basic,16.05,225,10,,,,,,,,,,,,
514,Miss,Sara,Foster,Studio 13,Webster Inlet,South Darren,Greater Manchester,S1E 8AG,(029) 2018308,49,pro,32.8,197,8,,,,,,,,,,,,
515,Mrs,Michelle,Johnson,36 Barker Branch,,Lake Barbara,Anglesey,GY0 1UG,+44(0)191 4960870,37,pro,26.65,207,7,,,,,,,,,,,,
516,,Russell,Taylor,Flat 5,Smith Walks,West Leanne,East Renfrewshire,W9U 5GY,(0131)4960820,48,basic,18.41,201,9,,,,,,,,,,,,
517,,Victor,Edwards,Flat 77W,Russell Island,East Alexanderfurt,City of Edinburgh,DD2P 1DN,292018333,60,pro,25.41,190,8,,,,,,,,,,,,
518,,Ryan,Oliver,Studio 8,Ferguson Valleys,Carterhaven,Moray,TQ17 0DT,1614960535,49,basic,15.88,219,9,,,,,,,,,,,,
519,,Denise,Harris-Taylor,877 Bernard Vista,,Conorton,Shetland Islands,ME9H 9BH,4.41915E+11,38,basic,16.57,172,7,,,,,,,,,,,,
520,,Joanna,Norton,0 Stewart Expressway,,New Gerardport,Argyll and Bute,N8F 0AA,+44(0)1614960515,48,enterprise,25,152,2,,,,,,,,,,,,
521,,Gareth,Walker,37 Peter Locks,,Bellside,Glasgow City,E1 7DS,(0114) 496 0318,43,basic,18.47,257,10,,,,,,,,,,,,
522,Dr,Gareth,Lynch,Studio 32,Cheryl Locks,West Rebeccaport,Falkirk,B0T 7FX,(028) 9018 0676,45,basic,18.01,205,10,,,,,,,,,,,,
523,Mr,George,Davies,Studio 21W,Wilson Summit,Warnerhaven,Midlothian,TF00 7LW,0808 1570138,50,enterprise,23.17,136,3,,,,,,,,,,,,
524,,Carl,Martin,04 Jones Ferry,,East Lukeburgh,South Yorkshire,E7 6BJ,(0161)4960023,32,basic,16.53,181,10,,,,,,,,,,,,
525,,Hazel,Ford,Studio 39u,Barry Drive,Evansburgh,North Yorkshire,DL9H 8JP,0306 999 0097,58,enterprise,38.64,246,8,,,,,,,,,,,,
526,Dr,Carl,Bruce,Flat 18,Carl Spurs,North Samanthaton,South Lanarkshire,RM5 8LE,+44(0)1514960540,37,basic,15.99,167,7,,,,,,,,,,,,
527,Mrs,Jemma,Brown,Studio 43Z,McDonald Mall,New Pamela,Cambridgeshire,E51 2UA,+441632 960416,42,basic,17.63,187,10,,,,,,,,,,,,
528,,Lorraine,Jones,89 Graham Wells,,East Jadeton,Antrim,L4 1GQ,(020)74960385,31,basic,15.73,159,10,,,,,,,,,,,,
529,Dr,Hugh,Sheppard,6 Hewitt Camp,,Jackfort,Orkney Islands,BA5M 5JF,4.41215E+11,38,basic,18.06,222,9,,,,,,,,,,,,
530,Ms,Gemma,Ward,Flat 81,Ian Harbor,Lake Frederick,Falkirk,W0 8ZE,+44(0)28 9018 0248,48,basic,17.22,213,10,,,,,,,,,,,,
531,,Mohammed,Lewis,Flat 08p,Mann Radial,Oliviamouth,Buckinghamshire,E1C 6JF,(0151) 496 0002,44,enterprise,25,204,2,,,,,,,,,,,,
532,,Rebecca,Smith-White,0 Fiona View,,New Linda,West Berkshire,E16 1EH,+44306 999 0568,44,pro,28.42,165,8,,,,,,,,,,,,
533,,Hayley,Harvey,462 Lisa Ports,,West Leighland,Lancashire,CW5 4FD,+44116 496 0193,49,enterprise,37.03,144,1,,,,,,,,,,,,
534,,Gerald,Flynn,80 Reid Cliffs,,North Samueltown,Scottish Borders,M1 9DL,1914960407,46,basic,18.94,183,7,,,,,,,,,,,,
535,,Victoria,Knight-Morris,Flat 9,Gordon Spur,West Rachel,Greater Manchester,G7C 0DQ,(0116) 4960070,50,basic,19.1,166,8,,,,,,,,,,,,
536,Miss,Georgia,Lloyd,Flat 63D,Julia Points,New Kevinport,Renfrewshire,NP8 1HW,0306 9990380,50,pro,30.57,134,7,,,,,,,,,,,,
537,,Jenna,Smith,91 Nigel Hill,,Lake Jeremymouth,West Yorkshire,G23 5FT,+44(0)808 1570153,52,basic,15.31,165,8,,,,,,,,,,,,
538,Dr,Aaron,Shaw,571 Rees Springs,,Willisburgh,Cardiganshire,DT32 0LW,+44(0)3069990650,48,basic,17.07,207,9,,,,,,,,,,,,
539,Dr,Jordan,Booth,Studio 94h,Daniel Shore,Wilkinsonberg,West Sussex,GY5 0QB,+44(0)808 1570213,43,basic,18.19,208,10,,,,,,,,,,,,
