sale_id,licenses_bought,account_id,account_holder,company,trial_period,account_renewed,sale_date,intended_use,organization_size,budget,account_plan
203,13,C1474,Judith Davies,Pineda PLC,True,False,2020-01-16,Tracking KPIs,29,2982.0,basic
204,1,C7050,John Anderson,Miller and Sons,True,False,2020-01-16,Accounting,6,4351.0,basic
205,32,C9376,Martin Winters,Schultz Inc,True,False,2020-01-18,Data Management,107,8656.0,basic
206,89,C4561,Charlene Knight,"Garrett, Boyle and Morales",True,False,2020-01-19,Data Management,262,10772.0,pro
207,263,C9556,Erika White,Marquez Group,True,False,2020-01-19,Data Analysis,477,17389.0,pro
208,36,C6093,Pamela Clay,Smith-Nelson,True,False,2020-01-19,Data Management,66,9389.0,basic
209,228,C7569,Christopher Jones,Dickerson Inc,True,False,2020-01-20,Tracking KPIs,770,12162.0,pro
210,11,C2132,Dennis Mclaughlin,Cooper-Murphy,True,False,2020-01-22,Data Analysis,36,4209.0,basic
211,80,C2973,Michelle Newton,"Brennan, Taylor and Williams",True,False,2020-01-22,Data Analysis,111,6297.0,pro
212,258,C1379,John Perry,Hunter and Sons,True,False,2020-01-23,Data Analysis,895,22238.0,pro
213,259,C8448,Michelle Cole,"Garcia, Foster and Zimmerman",True,False,2020-01-23,Data Management,541,13091.0,pro
214,437,C7526,Emily Cobb,Harris LLC,True,False,2020-01-25,Data Analysis,766,17799.0,pro
215,6,C2946,Jack Higgins,Lee-Perkins,True,False,2020-01-26,Data Analysis,8,2412.0,basic
216,70,C6319,Brianna Perry,Campos PLC,True,False,2020-01-27,Data Analysis,109,4969.0,pro
217,1,I2958,David Chapman,David Chapman,True,False,2020-01-27,Personal,1,79.99,individual
218,28,C5609,Anthony Nelson,Davis-Hays,True,False,2020-01-28,Data Management,73,7549.0,basic
219,721,C4037,Samuel Porter,Lee PLC,True,False,2020-01-28,Data Management,1303,18846.0,advanced
220,1,I6315,Lindsay Clarke,Lindsay Clarke,True,False,2020-01-29,Personal,1,79.99,individual
221,325,C5559,Laurie Bradford,"Rogers, Lawson and Barton",True,False,2020-01-29,Tracking KPIs,597,13196.0,pro
222,183,C4790,James Zavala,Stewart LLC,True,False,2020-01-30,Data Analysis,328,9044.0,pro
223,56,C2781,Jeremy Navarro,"Brown, Fowler and Morgan",True,False,2020-01-31,Data Management,147,6814.0,pro
224,14,C1883,Cory Scott,Bennett and Sons,True,False,2020-01-31,Accounting,63,7221.0,basic
225,32,C8355,Taylor Graves,"Gray, Mason and Cross",True,False,2020-01-31,Data Analysis,58,6300.0,basic
226,39,C5398,Stephanie Reed,"Greer, Johnson and Hughes",True,False,2020-02-01,Tracking KPIs,154,15994.0,basic
227,7,C4273,Ashley Thompson,West and Sons,True,False,2020-02-01,Accounting,23,3799.0,basic
228,358,C3566,Nicole Suarez,"Zuniga, Reynolds and Davis",True,False,2020-02-03,Data Analysis,730,12275.0,pro
229,88,C2044,Gregory Fleming,"Hill, Mahoney and Taylor",True,False,2020-02-04,Tracking KPIs,289,17199.0,pro
230,32,C3104,Joseph Gomez,Martin Ltd,True,False,2020-02-04,Tracking KPIs,58,7831.0,basic
231,158,C8910,Keith Boyd,"Fuller, Jensen and Tran",True,False,2020-02-04,Data Analysis,261,10059.0,pro
232,186,C6704,Sandra Howard,"Sullivan, Brown and Miller",True,False,2020-02-04,Tracking KPIs,484,11574.0,pro
233,15,C4316,Bernard Warren,Stewart Group,True,False,2020-02-04,Tracking KPIs,39,3873.0,basic
234,655,C1356,Samantha Rogers,Hurst and Sons,True,False,2020-02-05,Data Analysis,1191,18073.0,advanced
235,43,C6628,Alison Simmons,"Brooks, Mcknight and Miller",True,False,2020-02-06,Data Analysis,131,5358.0,basic
236,30,C3634,Yolanda Williamson,"Jones, Jones and Adams",True,False,2020-02-06,Data Analysis,48,4841.0,basic
237,1,I9693,Michael Perez,Michael Perez,True,False,2020-02-07,Personal,1,79.99,individual
238,8,C7400,Donna Morgan,Davis-Ortiz,True,False,2020-02-08,Data Analysis,23,1092.0,basic
239,50,C3982,Jill Manning,"Rogers, Wilson and Stafford",True,False,2020-02-08,Tracking KPIs,139,8122.0,pro
240,812,C5134,Andrew Taylor,James Ltd,True,False,2020-02-09,Data Analysis,1713,19239.0,advanced
241,1,I5537,Nicolas Brown,Nicolas Brown,True,False,2020-02-10,Personal,1,79.99,individual
242,32,C8077,Robert Johnson,Browning Ltd,True,False,2020-02-11,Data Analysis,87,9065.0,basic
243,65,C8953,Alyssa Ramos,Carroll Group,True,False,2020-02-16,Tracking KPIs,134,6088.0,pro
244,46,C8035,Michael Craig,Hall-Spencer,True,False,2020-02-16,Data Analysis,70,5109.0,basic
245,10,C8673,John Garcia,Anderson Inc,True,False,2020-02-18,Data Analysis,29,3735.0,basic
246,30,C3414,Steve Ferguson,Walsh-Walter,True,False,2020-02-18,Data Management,77,6704.0,basic
247,26,C4247,Vincent Cooley,Lane PLC,True,False,2020-02-19,Data Analysis,40,4863.0,basic
248,22,C8739,Jack Blankenship,Manning-Johnson,True,False,2020-02-19,Data Management,53,6781.0,basic
249,9,C2190,Aaron King,Wade Ltd,True,False,2020-02-19,Tracking KPIs,41,2442.0,basic
250,16,C2278,Karina Fletcher,"Patel, Bradley and Hernandez",True,False,2020-02-20,Data Management,50,7383.0,basic
251,315,C9939,Robert Marshall,Miller Group,True,False,2020-02-21,Tracking KPIs,1571,21400.0,pro
252,410,C5254,Matthew Marshall,Ross Inc,True,False,2020-02-21,Tracking KPIs,1258,24981.0,pro
253,3,C4422,Lisa Glover,"Benton, Johnson and Reynolds",True,False,2020-02-22,Accounting,14,3696.0,basic
254,356,C7766,Michael Bailey,Hall Group,True,False,2020-02-22,Tracking KPIs,661,11953.0,pro
255,159,C8603,Carly Garner,"Munoz, Bates and West",True,False,2020-02-22,Accounting,729,17505.0,pro
256,25,C2291,Samantha Green,Gomez LLC,True,False,2020-02-23,Tracking KPIs,52,7556.0,basic
257,3,C1891,Susan Reyes,Ellis Inc,True,False,2020-02-23,Data Analysis,5,2914.0,basic
258,479,C6591,Shane Jimenez,Robinson-Aguirre,True,False,2020-02-24,Data Analysis,753,17884.0,pro
259,66,C5143,April Bush,James LLC,True,False,2020-02-24,Data Analysis,94,8954.0,pro
260,30,C4269,Bobby Robinson,Williams-Smith,True,False,2020-02-28,Data Analysis,64,7724.0,basic
261,29,C7875,Jesse Cox,"Bailey, Hart and Bradley",True,False,2020-02-28,Tracking KPIs,71,8649.0,basic
262,1,I6679,Jason Reid,Jason Reid,True,False,2020-02-28,Personal,1,79.99,individual
263,5,C5034,Ronald Hodges,Austin-Wise,True,False,2020-02-28,Data Management,9,3565.0,basic
264,85,C4628,Walter Pratt,"Bishop, Hamilton and Mckinney",True,False,2020-02-29,Data Analysis,127,5459.0,pro
265,125,C6450,Crystal Taylor,York-Bennett,True,False,2020-02-29,Accounting,430,19459.0,pro
266,398,C4975,Amy Guerrero,"Phelps, Ward and Carrillo",True,False,2020-02-29,Data Management,696,18903.0,pro
267,388,C4585,Cody Harris,"Yang, Mejia and Simmons",True,False,2020-03-01,Data Analysis,582,12273.0,pro
268,1,I8741,Abigail Green,Abigail Green,True,False,2020-03-02,Personal,1,79.99,individual
269,22,C9490,Andrea Hubbard,Leon Ltd,True,False,2020-03-02,Data Management,46,4044.0,basic
270,39,C3690,Nicholas Parker,"Day, Osborn and Logan",True,False,2020-03-03,Data Management,91,5850.0,basic
271,296,C4053,Anna Khan,"Lewis, Phelps and Shah",True,False,2020-03-03,Tracking KPIs,786,19002.0,pro
272,20,C8654,Tammy Johns,"Wade, Miller and Cook",True,False,2020-03-05,Tracking KPIs,44,4932.0,basic
273,44,C5358,Amy Park,Payne Ltd,True,False,2020-03-06,Data Management,83,9577.0,basic
274,72,C6790,Alexis Griffith,Sims PLC,True,False,2020-03-07,Data Analysis,230,18099.0,pro
275,93,C3357,William Richardson,Snyder and Sons,True,False,2020-03-08,Data Analysis,297,15854.0,pro
276,1,I2106,Gregory Cunningham,Gregory Cunningham,True,False,2020-03-08,Personal,1,79.99,individual
277,186,C6723,Diane Rowland,"Mosley, Dudley and Noble",True,False,2020-03-16,Data Analysis,281,12197.0,pro
278,22,C9156,Dana Gutierrez,Lang Group,True,False,2020-03-19,Tracking KPIs,41,2575.0,basic
279,39,C4509,April Mcmillan,"Gomez, Mcbride and Garcia",True,False,2020-03-19,Data Management,80,6537.0,basic
280,160,C3280,Wesley Peterson,"Singleton, Villegas and Howe",True,False,2020-03-19,Tracking KPIs,484,9492.0,pro
281,240,C6049,Charles Benitez,"Oliver, Boyd and Montgomery",True,False,2020-03-19,Data Management,947,22997.0,pro
282,591,C7964,Frank Sanchez,Juarez-Howe,True,False,2020-03-20,Data Analysis,1583,24764.0,advanced
283,34,C5944,Brittany Green,Gilbert LLC,True,False,2020-03-20,Data Analysis,132,6982.0,basic
284,175,C8505,Monique Mayo,Joseph-Fitzgerald,True,False,2020-03-21,Accounting,737,14337.0,pro
285,1,I7382,Brianna Vazquez,Brianna Vazquez,True,False,2020-03-22,Personal,1,79.99,individual
286,152,C8043,Pamela Anderson,Walsh PLC,True,False,2020-03-22,Data Management,697,15072.0,pro
287,1,I5674,Elizabeth Guerrero,Elizabeth Guerrero,True,False,2020-03-24,Personal,1,79.99,individual
288,21,C7448,Amy Lawrence,Smith Ltd,True,False,2020-03-25,Data Analysis,60,7577.0,basic
289,700,C7784,Alison Harris,"Burke, Miller and Collier",True,False,2020-03-25,Tracking KPIs,1563,22978.0,advanced
290,274,C1323,Brianna Rodriguez,Garcia Inc,True,False,2020-03-26,Data Analysis,904,22965.0,pro
291,1,I3185,Vanessa Smith,Vanessa Smith,True,False,2020-03-28,Personal,1,79.99,individual
292,270,C8346,Lindsay Juarez,Huang-Perkins,True,False,2020-03-28,Tracking KPIs,680,9964.0,pro
293,1330,C2440,Kendra Alvarado,Matthews LLC,True,False,2020-03-28,Data Analysis,1818,22457.0,advanced
294,43,C3122,Sandra Powell,Fuller-Acosta,True,False,2020-03-28,Tracking KPIs,100,7773.0,basic
295,41,C8761,Daniel Lynn,Silva Inc,True,False,2020-03-29,Data Management,131,7559.0,basic
296,1,I1330,Timothy Buckley,Timothy Buckley,True,False,2020-03-30,Personal,1,79.99,individual
297,14,C3675,Andrew Ball,Daniels LLC,True,False,2020-03-30,Tracking KPIs,30,4603.0,basic
298,96,C2102,Michael Kennedy,Baker Inc,True,False,2020-03-30,Data Analysis,131,8362.0,pro
299,4,C3344,Joshua Blackwell,Barber LLC,True,False,2020-03-30,Data Management,9,4696.0,basic
300,11,C3325,Marc Phillips,Wright Group,True,False,2020-03-31,Data Management,19,2761.0,basic
301,40,C4517,Michael Norton,Peterson Group,True,False,2020-04-01,Tracking KPIs,102,9708.0,basic
302,147,C9571,Amy Hayes,"Dennis, Wright and Harris",True,False,2020-04-04,Data Management,323,16294.0,pro
303,53,C2407,Michael Kim,Riley-Jones,True,False,2020-04-06,Data Analysis,146,9245.0,pro
304,20,C1309,Bethany Blankenship,Norris-Thompson,True,False,2020-04-06,Accounting,109,6322.0,basic
305,32,C6325,Megan Smith,Meadows-Jacobson,True,False,2020-04-07,Tracking KPIs,81,7719.0,basic
306,1,I7862,Karen Barnes,Karen Barnes,True,False,2020-04-08,Personal,1,79.99,individual
307,44,C6463,Kimberly Wood,Davidson and Sons,True,False,2020-04-08,Data Management,170,14417.0,basic
308,120,C1881,Gregory Flores,Jones-Ward,True,False,2020-04-09,Data Analysis,672,14248.0,pro
309,14,C1043,Christopher Garrett,"Barton, Miller and Hamilton",True,False,2020-04-12,Data Analysis,51,4992.0,basic
310,11,C7058,Justin Chapman,"Barnes, Robertson and Holland",True,False,2020-04-12,Accounting,74,9825.0,basic
311,108,C6398,Erica Clark,Finley-Stephens,True,False,2020-04-15,Tracking KPIs,338,13501.0,pro
312,63,C2707,Laura Hester,Harper-Morales,True,False,2020-04-16,Data Management,149,8113.0,pro
313,150,C2914,Frederick Welch,Green Group,True,False,2020-04-17,Data Analysis,650,11935.0,pro
314,21,C5465,Cheryl Underwood,"Torres, Mccormick and Long",True,False,2020-04-17,Data Analysis,111,7522.0,basic
315,27,C2012,Sandra Raymond,"White, Harvey and Osborn",True,False,2020-04-17,Data Analysis,47,2024.0,basic
316,466,C8240,Melissa Armstrong,"Lowe, Holland and Nelson",True,False,2020-04-18,Data Analysis,858,23385.0,pro
317,43,C6289,Susan Estrada,Wells and Sons,True,False,2020-04-19,Data Analysis,131,4662.0,basic
318,1,I2270,William Sanchez,William Sanchez,True,False,2020-04-21,Personal,1,79.99,individual
319,232,C2693,Katherine Hernandez,"Martin, Mercer and Estrada",True,False,2020-04-22,Data Management,706,9034.0,pro
320,22,C5191,Lauren Miles,Johnson-Johnson,True,False,2020-04-22,Data Analysis,99,5918.0,basic
321,63,C9074,Nicholas Li,Miller-Sandoval,True,False,2020-04-22,Tracking KPIs,120,4669.0,pro
322,3,C4020,Karina Wallace,Walker-Myers,True,False,2020-04-22,Data Analysis,6,2065.0,basic
323,18,C7035,Matthew King,"Barnes, Pruitt and Griffin",True,False,2020-04-23,Data Analysis,34,2809.0,basic
324,317,C4183,Tiffany Collins,Zimmerman and Sons,True,False,2020-04-23,Tracking KPIs,670,12598.0,pro
325,158,C2380,Dennis Smith,"Wilson, Miller and Jimenez",True,False,2020-04-25,Tracking KPIs,684,19422.0,pro
326,11,C8229,Richard Mcdonald,Foster-Carr,True,False,2020-04-25,Data Analysis,20,3047.0,basic
327,239,C4567,Jody Fernandez,"Stewart, Smith and Edwards",True,False,2020-04-26,Data Analysis,453,11762.0,pro
328,1,I3535,Johnny Thompson,Johnny Thompson,True,False,2020-04-26,Personal,1,79.99,individual
329,9,C1504,Michael Bryant,Smith and Sons,True,False,2020-04-26,Data Analysis,21,2574.0,basic
330,83,C1732,Christopher Hopkins,Watson-Goodman,True,False,2020-04-27,Tracking KPIs,213,13021.0,pro
331,8,C6401,Kenneth Landry,"Arnold, Drake and Brooks",True,False,2020-04-27,Data Analysis,19,2402.0,basic
332,736,C7618,Pamela Johnson,"Pearson, Cain and Webster",True,False,2020-04-29,Data Management,1714,23283.0,advanced
333,25,C7174,Patricia Carpenter,Gould-Hayes,True,False,2020-05-01,Accounting,95,9737.0,basic
334,237,C1029,Jared Greene,"Ortiz, Dickson and Brady",True,False,2020-05-01,Tracking KPIs,597,15181.0,pro
335,30,C9019,Angela Mcdonald,Luna PLC,True,False,2020-05-02,Accounting,230,14357.0,basic
336,41,C9868,Lindsay Mckinney,Johnson-Young,True,False,2020-05-03,Data Analysis,219,9043.0,basic
337,249,C6804,Angela Foster,"Johnson, Taylor and Curry",True,False,2020-05-05,Tracking KPIs,620,11343.0,pro
338,126,C6470,Jacqueline Miller,"Shaffer, Richards and Ryan",True,False,2020-05-06,Data Analysis,585,13595.0,pro
339,4,C8376,Joseph Meza,Watson-Stephenson,True,False,2020-05-07,Accounting,20,3007.0,basic
340,6,C5044,Sara Sanchez,Santana Ltd,True,False,2020-05-09,Data Management,10,1419.0,basic
341,1,I1171,Alicia Kelly,Alicia Kelly,True,False,2020-05-09,Personal,1,79.99,individual
342,256,C5669,William Price,Johnson Group,True,False,2020-05-11,Tracking KPIs,608,10523.0,pro
343,22,C8115,Diana Wheeler,Freeman Ltd,True,False,2020-05-13,Data Analysis,44,3902.0,basic
344,18,C6975,Benjamin Anderson,"Smith, James and Caldwell",True,False,2020-05-13,Data Management,36,1669.0,basic
345,1,I3344,Sean Baker,Sean Baker,True,False,2020-05-13,Personal,1,79.99,individual
346,285,C7452,Rachel Ramirez,"Richmond, Bennett and Boyd",True,False,2020-05-14,Data Analysis,679,15479.0,pro
347,3,C3949,Natasha Lee,"Jones, Pace and Wilkins",True,False,2020-05-16,Accounting,31,3382.0,basic
348,141,C2976,Morgan Campbell,Martinez Ltd,True,False,2020-05-16,Data Management,293,11471.0,pro
349,59,C3136,Cynthia Brown,Brady LLC,True,False,2020-05-16,Data Analysis,143,8555.0,pro
350,2,C9807,Maureen Henderson,Perry Ltd,True,False,2020-05-17,Data Management,6,2272.0,basic
351,22,C9243,Stephen Little,"Lewis, Schultz and Miller",True,False,2020-05-19,Accounting,143,9637.0,basic
352,62,C7244,William Mccarthy,Jackson-Willis,True,False,2020-05-19,Data Management,142,6801.0,pro
353,48,C3713,Thomas Howard,Hall PLC,True,False,2020-05-20,Data Analysis,70,9753.0,basic
354,6,C8541,Tammy Meyer,Merritt-Anderson,True,False,2020-05-21,Data Analysis,33,1700.0,basic
355,17,C8111,Michael Floyd,"Collins, Bowman and Harris",True,False,2020-05-22,Tracking KPIs,41,3105.0,basic
356,11,C6080,Roy James,"Jones, Moore and Noble",True,False,2020-05-22,Data Management,19,2238.0,basic
357,241,C8966,Jordan Norton,Anderson-Allison,True,False,2020-05-23,Tracking KPIs,660,16201.0,pro
358,7,C6667,Amanda Ballard,Mejia-Gonzalez,True,False,2020-05-24,Data Management,34,2485.0,basic
359,25,C8427,Rhonda Rojas,"Jones, Gonzales and Henderson",True,False,2020-05-25,Data Management,87,8131.0,basic
360,229,C5629,Rachel Esparza,Stephens Ltd,True,False,2020-05-25,Tracking KPIs,705,19630.0,pro
361,12,C2646,Darren Ayala,Walters-Compton,True,False,2020-05-26,Tracking KPIs,26,1401.0,basic
362,314,C1005,Randy Rodriguez,"Wright, Obrien and Potts",True,False,2020-05-26,Tracking KPIs,816,20540.0,pro
363,2,C3603,Joel Spears,"Hart, Patterson and Valencia",True,False,2020-05-27,Data Analysis,6,4578.0,basic
364,221,C9519,Darius Fitzpatrick,Gonzalez-Johnson,True,False,2020-05-27,Tracking KPIs,559,11684.0,pro
365,172,C5120,Nicholas Sharp,"Friedman, Mclean and Walker",True,False,2020-05-28,Data Management,746,18039.0,pro
366,35,C3240,Ashley Webb,Ewing Ltd,True,False,2020-05-28,Data Analysis,100,6077.0,basic
367,132,C7525,Tiffany Ayala,Le-Murphy,True,False,2020-05-29,Tracking KPIs,610,9332.0,pro
368,157,C5333,Felicia Chavez,"Burns, Arias and Huynh",True,False,2020-05-29,Tracking KPIs,374,17235.0,pro
369,61,C5983,Kenneth Weber,"Edwards, Chavez and Simpson",True,False,2020-05-29,Data Analysis,302,9715.0,pro
370,1,I4532,Todd Burns,Todd Burns,True,False,2020-05-31,Personal,1,79.99,individual
371,4,C6510,Mark Sanchez,"Ross, Rodriguez and York",True,False,2020-06-01,Tracking KPIs,17,3035.0,basic
372,13,C2999,Laura Harris,Newman-Klein,True,False,2020-06-01,Tracking KPIs,29,1504.0,basic
373,19,C7832,Nancy Black,"Johnson, Clark and Smith",True,False,2020-06-03,Data Management,39,3424.0,basic
374,22,C2550,Rachel Butler,Gutierrez-Aguilar,True,False,2020-06-04,Data Management,97,8235.0,basic
375,1,C9007,Jesse Chavez,Hayes LLC,True,False,2020-06-04,Data Management,7,4968.0,basic
376,17,C6402,John Keller,Nguyen and Sons,True,False,2020-06-05,Data Management,61,9957.0,basic
377,115,C2407,Anthony Russell,Morgan and Sons,True,False,2020-06-05,Tracking KPIs,248,9919.0,pro
378,1,I6210,Morgan Lee,Morgan Lee,True,False,2020-06-07,Personal,1,79.99,individual
379,19,C6983,Debbie Gibson,"Anthony, Bailey and Sanders",True,False,2020-06-08,Data Management,94,5345.0,basic
380,57,C6375,Meredith Santiago,"Curry, Hickman and Lee",True,False,2020-06-10,Data Management,147,4978.0,pro
381,36,C8511,Melissa Richard,Johnson-Chavez,True,False,2020-06-10,Data Management,73,6057.0,basic
382,28,C3448,Brooke Day,"White, Hudson and Baldwin",True,False,2020-06-10,Tracking KPIs,122,7925.0,basic
383,47,C3656,Joseph Roy,"Carlson, Ingram and Morris",True,False,2020-06-11,Data Management,137,7507.0,basic
384,23,C7481,Daniel Perkins,"Ward, Patterson and Garza",True,False,2020-06-12,Accounting,98,6936.0,basic
385,45,C2752,Amanda Valenzuela,Wilson-Davila,True,False,2020-06-12,Data Analysis,232,13703.0,basic
386,1,I6848,Maria Vang,Maria Vang,True,False,2020-06-14,Personal,1,79.99,individual
387,35,C3007,Deborah Hanson,Bailey PLC,True,False,2020-06-14,Tracking KPIs,150,9186.0,basic
388,157,C7467,Linda Gibson,"Mueller, Morales and Friedman",True,False,2020-06-14,Tracking KPIs,518,15691.0,pro
389,444,C8225,Mindy Keller,Roberson LLC,True,False,2020-06-15,Tracking KPIs,1445,19218.0,pro
390,21,C4266,Zachary Gallagher,Davis PLC,True,False,2020-06-16,Tracking KPIs,76,4611.0,basic
391,38,C7137,Melanie Peterson,Adams PLC,True,False,2020-06-17,Tracking KPIs,103,8731.0,basic
392,45,C6711,Michael Diaz,Norman and Sons,True,False,2020-06-17,Accounting,424,10988.0,basic
393,71,C4473,Abigail Valdez,Nielsen PLC,True,False,2020-06-18,Data Management,226,10813.0,pro
394,7,C5690,Edward Mills,Herrera Ltd,True,False,2020-06-18,Tracking KPIs,14,2569.0,basic
395,11,C8061,Andrew Jones,"Ritter, Johnson and Myers",True,False,2020-06-19,Accounting,107,6086.0,basic
396,24,C8707,Danielle Barton,"Cruz, Edwards and Santana",True,False,2020-06-19,Accounting,100,5613.0,basic
397,1,I2874,Rose Clark,Rose Clark,True,False,2020-06-20,Personal,1,79.99,individual
398,39,C6850,Michael Nelson,Chapman Group,True,False,2020-06-22,Data Analysis,95,9735.0,basic
399,493,C2473,Diana Dixon,Jefferson LLC,True,False,2020-06-23,Data Management,997,24415.0,pro
400,14,C6876,Jason Patrick,Warren-Anderson,True,False,2020-06-24,Data Management,44,4520.0,basic
401,1,I5613,Justin James,Justin James,True,False,2020-06-25,Personal,1,79.99,individual
402,11,C1065,Bobby Jones,Suarez-Thompson,True,False,2020-06-27,Data Management,39,4161.0,basic
403,17,C5618,Joanna Flores,Berg-Walton,True,False,2020-06-28,Data Analysis,54,7313.0,basic
404,51,C3098,Richard Calderon,Green-Cook,True,False,2020-06-28,Data Management,89,9433.0,pro
405,45,C6725,Sharon Green,"Sharp, Doyle and Jones",True,False,2020-06-28,Tracking KPIs,149,8531.0,basic
406,1,I9548,Lisa Harvey,Lisa Harvey,True,False,2020-06-28,Personal,1,79.99,individual
407,1,I7443,Andrea Clark,Andrea Clark,True,False,2020-06-30,Personal,1,79.99,individual
408,62,C3244,Kristina Day,Brown-Stuart,True,False,2020-06-30,Data Analysis,91,6007.0,pro
409,511,C7450,Taylor Schultz,Burnett and Sons,True,False,2020-07-01,Tracking KPIs,1564,22855.0,advanced
410,1,I3298,Lisa Roy,Lisa Roy,True,False,2020-07-01,Personal,1,79.99,individual
411,14,C4093,Megan Chan,"Garrett, Matthews and Armstrong",True,False,2020-07-04,Data Analysis,26,1273.0,basic
412,31,C8707,Jessica Lopez,"Barrett, Jackson and Taylor",True,False,2020-07-04,Data Analysis,134,4955.0,basic
413,40,C4796,Michael Gregory,Myers-Cobb,True,False,2020-07-04,Data Analysis,58,9437.0,basic
414,56,C9294,Megan Hodges,Bell-Mccormick,True,False,2020-07-05,Accounting,525,10642.0,pro
415,59,C5266,Jennifer Burton,Walker Group,True,False,2020-07-06,Data Analysis,271,12273.0,pro
416,60,C8492,Dakota Bridges,"Levy, Simmons and Rasmussen",True,False,2020-07-07,Data Analysis,85,5911.0,pro
417,6,C3571,Karen Fox,Thomas and Sons,True,False,2020-07-08,Accounting,21,3453.0,basic
418,6,C5247,Angela Brown,"Baker, Mcdaniel and Wolfe",True,False,2020-07-08,Tracking KPIs,23,4521.0,basic
419,28,C7041,Adam Houston,Brooks-Ramos,True,False,2020-07-08,Tracking KPIs,116,6972.0,basic
420,32,C3120,Willie Ruiz,"Haney, Sanders and Shannon",True,False,2020-07-10,Data Analysis,65,8682.0,basic
421,37,C7196,Robert Nguyen,Simmons and Sons,True,False,2020-07-10,Data Analysis,50,6638.0,basic
422,54,C5369,Thomas Monroe,Wolfe-Wood,True,False,2020-07-12,Data Analysis,73,9905.0,pro
423,92,C8331,Justin Beck,Clark-Arias,True,False,2020-07-12,Tracking KPIs,189,13668.0,pro
424,21,C3805,Stephanie Delacruz,Golden and Sons,True,False,2020-07-13,Data Analysis,135,5270.0,basic
425,100,C3402,Mary Wallace,"Harmon, Adams and Anderson",True,False,2020-07-13,Accounting,703,16518.0,pro
426,30,C6881,Thomas Chavez,Harrington-Young,True,False,2020-07-13,Accounting,138,6138.0,basic
427,13,C9777,Marcia Kline,Eaton-Esparza,True,False,2020-07-13,Accounting,47,1945.0,basic
428,1,I9580,Nicole Barnes,Nicole Barnes,True,False,2020-07-14,Personal,1,79.99,individual
429,66,C8378,Samantha Blevins,Smith Group,True,False,2020-07-15,Tracking KPIs,212,11614.0,pro
430,193,C4054,Sheri Serrano,Ortiz-Robles,True,False,2020-07-16,Data Management,566,15472.0,pro
431,407,C7547,Rebecca Lopez,Arellano-Sullivan,True,False,2020-07-16,Data Analysis,1199,22585.0,pro
432,231,C1374,Tina Adkins,Jackson Group,True,False,2020-07-17,Tracking KPIs,665,16144.0,pro
433,308,C4928,Charles Johnson,"Lewis, Ford and Hernandez",True,False,2020-07-18,Data Management,604,14123.0,pro
434,212,C3917,Jared Romero,Mccoy-Austin,True,False,2020-07-18,Tracking KPIs,728,16075.0,pro
435,8,C5967,Stephanie Bowen,Williams LLC,True,False,2020-07-19,Tracking KPIs,37,3062.0,basic
436,310,C2333,Karen Cortez,"Lindsey, Scott and Price",True,False,2020-07-20,Data Analysis,492,12181.0,pro
